LABORATORIO,PROVEEDOR,CUM,DESCRIPCION,PRECIO,CUM2,IVA,PRINCIPIO ACTIVO,REGULADOS,reg invima
LAFRACOL,LAFRACOL,0,DOLIREN 5mg/325mg X 100 TAB-USO,660,,,ACETAMINOFEN 325 mg; HIDROCODONA BITART DISESQUIHIDRA 5 mg,#N/D,
LAFRACOL,LAFRACOL,0,"DOLIREN 7,5mg /325mg X 30 TAB-USO",1771,,,"ACETAMINOFEN 325 mg; HIDROCODONA BITARTRATO 7,5 mg",#N/D,
LAFRACOL,LAFRACOL,0,DOLIREN PLUS X 30 TAB-USO,2201,,,ACETAMINOFEN 325 mg; HIDROCODONA BITARTRATO 10 mg,#N/D,
LAFRACOL,LAFRACOL,0,DOXU 5mg/250mg X 20 TAB-ENT,2528,,,NAPROXENO 250 mg; HIDROCODONA BITARTRATO 5 mg,#N/D,
LAFRACOL,LAFRACOL,0,"DOXU 7,5mg x20 TAB-ENT",3692,,,"NAPROXENO 250 mg; HIDROCODONA BITARTRATO 7,5 mg",#N/D,
LAFRACOL,LAFRACOL,0,DOXU PLUS 10mg/250mg X 20 TAB-ENT,4523,,,HIDROCODONA BITARTRATO 10 mg; NAPROXENO 250 mg,#N/D,
LAFRACOL,LAFRACOL,0,DUPHALAC SLN ORAL CJ X 20 SACHETS-ENT,1662,,,LACTULOSA 66.7 g/100mL,#N/D,
LAFRACOL,LAFRACOL,0,DUPHALAC SOLUCION ORAL 200ML-ENT,49800,,,LACTULOSA 66.7 g/100mL,#N/D,
LAFRACOL,LAFRACOL,0,DURAX VSD 10mg x2 TAB-ENT,10787,,,TADALAFILO MICRONIZADO 10 mg,#N/D,
LAFRACOL,LAFRACOL,0,DURAX VSD 20mg x4 TAB-ENT,14188,,,TADALAFILO MICRONIZADO 20 mg,#N/D,
LAFRACOL,LAFRACOL,0,DURAX VSD 5mg x28 TAB-USO,2160,,,TADALAFILO MICRONIZADO 5 mg,#N/D,
LAFRACOL,LAFRACOL,0,EGOGYN 1000 UI x 30 CAP-ENT,1086,,,DL-ALFATOCOFERIL ACET EQV VIT. E 1000 UI,#N/D,
LAFRACOL,LAFRACOL,0,ERICOX 120 mg x 7 TAB-ENT,3967,,,ETORICOXIB 120 mg,#N/D,
LAFRACOL,LAFRACOL,0,ERICOX 30 mg x 10 TAB-ENT,2020,,,ETORICOXIB 30 mg,#N/D,
LAFRACOL,LAFRACOL,0,ERICOX 60mg x 14 TAB-ENT,1983,,,ETORICOXIB 60 mg,#N/D,
LAFRACOL,LAFRACOL,0,ERICOX 90 mg x 14 TAB-ENT,2975,,,ETORICOXIB 90 mg,#N/D,
LAFRACOL,LAFRACOL,0,EROXIM 100 mg x 1 TAB,13831,,,SILDENAFIL CITRATO EQV SILDENAFIL 100 mg,#N/D,
LAFRACOL,LAFRACOL,0,EROXIM 50 mg x 4 TAB-ENT,6057,,,SILDENAFIL CITRATO EQV. 50mg SILDENAFIL,#N/D,
LAFRACOL,LAFRACOL,0,ESTEINE 3.5 mg x 6 OVULOS-USO,4045,,,ESTRIOL 3.5 mg,#N/D,
LAFRACOL,LAFRACOL,0,FACETIX MINI x 28 TAB-ENT,301,,,CIPROTERONA ACETATO 2 mg; ETINILESTRADIOL 0.02 mg,#N/D,
LAFRACOL,LAFRACOL,0,FACETIX SUAVE x 28 TAB-ENT,301,,,CIPROTERONA ACETATO 2 mg; ETINILESTRADIOL 0.03 mg,#N/D,
LAFRACOL,LAFRACOL,0,FACETIX x 21 TAB RECUBIERTA-ENT,402,,,CIPROTERONA ACETATO 2 mg; ETINILESTRADIOL 0.035 mg,#N/D,
LAFRACOL,LAFRACOL,0,FEMELLE 20 CD 3/0.02 mg x 28 TAB-ENT,799,,,DROSPIRENONA 3 mg; ETINILESTRADIOL 0.02 mg,#N/D,
LAFRACOL,LAFRACOL,0,FEMOSTON CONTI X 28 TAB-ENT,722,,,ESTRADIOL HEMIHIDRATO EQV. ESTRADIOL 1MG; DIDROGESTERONA 5 MG,#N/D,
LAFRACOL,LAFRACOL,0,FEXU 120mg x20 TAB-ENT,3478,,,FEXOFENADINA CLORHIDRATO 120mg,#N/D,
LAFRACOL,LAFRACOL,0,FEXU 180mg x20 TAB-ENT,6338,,,FEXOFENADINA CLORHIDRATO 180 mg,#N/D,
LAFRACOL,LAFRACOL,0,FINIGAX MASTIC CEREZA x36 TAB,1045,,,SIMETICONA 125 mg,#N/D,
LAFRACOL,LAFRACOL,0,FINIGAX MASTIC MENTA x36 TAB,1096,,,SIMETICONA 125 mg,#N/D,
LAFRACOL,LAFRACOL,0,FLEXIMAX ACE X 14 TAB-ENT,3466,,,ACETAMINOFEN 325 mg; TIOCOLCHICOSIDO 4 mg,#N/D,
LAFRACOL,LAFRACOL,0,FLEXIMAX NAP X 14 TAB-ENT,2853,,,NAPROXENO 250 mg; TIOCOLCHICOSIDO 4 mg,#N/D,
LAFRACOL,LAFRACOL,0,FLUCIFEM 1000/75 mg x 4 TAB-ENT,43064,,,SECNIDAZOL 1000 mg; FLUCONAZOL 75 mg,#N/D,
LAFRACOL,LAFRACOL,0,FOCUS 0.04 mg FCO x10ml-ENT,156662,,,TRAVOPROST 0.04 mg/mL,#N/D,
LAFRACOL,LAFRACOL,0,FUNIDE-DERM CREM 1% TBO x 15g-ENT,15553,,,CADA 100g CONTIENE TERBINAFINA HCL 1g,#N/D,
LAFRACOL,LAFRACOL,0,FUNIDE-DERMATIC 1% LOCION x 30mL-ENT,17004,,,TERBINAFINA HCL AL 1%,#N/D,
LAFRACOL,LAFRACOL,0,FUNIDE-DERMATIC 250 mg x 14 TAB-ENT,3038,,,TERBINAFINA HCL EQV TERBINAFINA 250 mg,#N/D,
LAFRACOL,LAFRACOL,0,FUZOLPAULY 150 mg x 4 CAP-ENT,10948,,,#N/D,#N/D,
LAFRACOL,LAFRACOL,0,GASTRUM 10 mg x 48 TAB,986,,,FAMOTIDINA 10 mg,#N/D,
LAFRACOL,LAFRACOL,0,GIGI 12 CJ x7 STICKS,7462,,,LACTOBACILLUS RHAMNOSUS LGG; BIFIDOBACTERIUM ANIMALS SUBSP. BB-12,#N/D,
LAFRACOL,LAFRACOL,0,GIGI 12 FCO X 15 CAP,3187,,,N/A SUPLEMENTO DIETARIO,#N/D,
LAFRACOL,LAFRACOL,0,GYNCLOX 200/100 mg x 3 OVULOS-ENT,14353,,,CLINDAMICINA FOSF EQV CLINDAMICINA 100mg; CLOTRIMAZOL 200 mg,#N/D,
LAFRACOL,LAFRACOL,0,GYNCLOX CREMA VAG TBO x 40g-ENT,49652,,,CLOTRIMAZOL 1.0%; CLINDAMICINA FOSF EQV CLINDAMICINA 2 G,#N/D,
LAFRACOL,LAFRACOL,0,GYNETS 4mg x28 TAB,1197,,,DROSPIRENONA 4mg,#N/D,
LAFRACOL,LAFRACOL,0,GYNFLU D x 4 TAB-ENT,10253,,,SECNIDAZOL 1000 mg; FLUCONAZOL 75 mg,#N/D,
LAFRACOL,LAFRACOL,0,GYNORELLE 2/0.02 mg x 28 COMP-ENT,762,,,CLORMADINONA ACETATO 2 mg; ETINILESTRADIOL 0.02 mg,#N/D,
LAFRACOL,LAFRACOL,0,GYNORELLE 30 x21 COMP-ENT,1016,,,ETINILESTRADIOL 0.03 mg; CLORMADINONA ACETATO 2 mg,#N/D,
LAFRACOL,LAFRACOL,0,IBONE D 150 mg/12000 UI x 1 TAB-ENT,143548,,,IBANDRON/SOD EQV ACID IBANDRONICO 150mg; VITAMINA D3 12000 UI,#N/D,
LAFRACOL,LAFRACOL,0,IBONE D 150 mg/12000 UI x3 TAB-ENT,90036,,,IBANDRON/SOD EQV ACID IBANDRONICO 150mg; VITAMINA D3 12000 UI,#N/D,
LAFRACOL,LAFRACOL,0,INDUSTOL 200 mcg x 8 TAB-USO,2860,,,MISOPROSTOL DISP1%EQV MISOPROSTOL 200mcg,#N/D,
LAFRACOL,LAFRACOL,0,IZINOVA 2 FRASCOS X 6 ONZAS,46420,,,SULFATO DE SODIO ANHIDRO 17.51g; SULFATO DE POTASIO 3.13g; SULFATO DE MAGNESIO HEPTAHIDRAT 3.276g,#N/D,
LAFRACOL,LAFRACOL,0,JEX 1mg/2mg x28 TAB,1245.892857,,,"ESTRADIOL HEMIHIDRATO EQV. ESTRADIOL 1MG; DROSPIRENONA MICRONIZADA 2,0mg",#N/D,
LAFRACOL,LAFRACOL,0,KAZIDE 200 mg DISPER x 6 TAB-ENT,1943,,,NITAZOXANIDA 200 mg,#N/D,
LAFRACOL,LAFRACOL,0,KAZIDE 500 mg x 6 TAB-ENT,4096,,,NITAZOXANIDA 500 mg,#N/D,
LAFRACOL,LAFRACOL,0,LACORYL 60 mg x 14 CAP-ENT,6812,,,PINUS PINASTER60mg eqv PROCIANIDINA 42mg,#N/D,
LAFRACOL,LAFRACOL,0,LACORYL 60mg x28 CAP-ENT,6304,,,PINUS PINASTER60mg eqv PROCIANIDINA 42mg,#N/D,
LAFRACOL,LAFRACOL,0,LISIPRIL 10 mg x 10 TAB-ENT,5917,,,LISINOPRIL DIHID EQV LISINOPRIL 10 mg,#N/D,
LAFRACOL,LAFRACOL,0,LISIPRIL 20 mg x 10 TAB-ENT,10596,,,LISINOPRIL DIHID EQV LISINOPRIL 20 mg,#N/D,
LAFRACOL,LAFRACOL,0,LISIPRIL 5 mg x 20 TAB-ENT,3089,,,LISINOPRIL DIHID EQ LISINOPRIL BASE 5 mg,#N/D,
LAFRACOL,LAFRACOL,0,LUMBAL FORTE X 36 TAB,2174,,,CAFEINA 65 mg; NAPROXENO 550 mg,#N/D,
LAFRACOL,LAFRACOL,0,LUMBAL x 48 TAB,1466,,,NAPROXENO SÓDICO 220 mg; CAFEINA 50 mg,#N/D,
LAFRACOL,LAFRACOL,0,MAGNION 100 UI x 1 VIAL PAIN - ENT,451500,,,TOXINA BOTULINICA TIPO A 100U,#N/D,
LAFRACOL,LAFRACOL,0,MAGNION 200 UI x 1 VIAL PAIN - ENT,828970,,,TOXINA BOTULINICA TIPO A 200 UI,#N/D,
LAFRACOL,LAFRACOL,0,MAGNION 50 UI x 1 VIAL PAIN - ENT,319900,,,TOXINA CLORTRIDIUM BOTULINUM TIP A 50 UI,#N/D,
LAFRACOL,LAFRACOL,0,MENODIN 1 mL x 1 AMP-ENT,25479,,,HEXAHIDROBENZOATO DE ESTRADIOL 5 mg,#N/D,
LAFRACOL,LAFRACOL,0,MENTOSANIL 100 mg X 90 CAP-ENT,16502,,,PENTOSAN POLISULFATO 100 mg,#N/D,
LAFRACOL,LAFRACOL,0,MOVIDOL M 220/50mg x36 TAB,1205,,,NAPROXENO 220 mg; CAFEINA 50 mg,#N/D,
LAFRACOL,LAFRACOL,0,MOVIDOL x 48 TAB,1122,,,NAPROXENO 220 mg; ACETAMINOFEN 250 mg; CAFEINA 65 mg,#N/D,
LAFRACOL,LAFRACOL,0,NEDOX 20mg x14 TAB-ENT,5735,,,ESOMEPRAZOL 20 mg,#N/D,
LAFRACOL,LAFRACOL,0,NEDOX 20mg x28 TAB-ENT,3907,,,ESOMEPRAZOL 20 mg,#N/D,
LAFRACOL,LAFRACOL,0,NEDOX 20mg x56 TAB-ENT,3907,,,ESOMEPRAZOL 20 mg,#N/D,
LAFRACOL,LAFRACOL,0,NEDOX 40mg x14 TAB-ENT,6799,,,ESOMEPRAZOL 40 mg,#N/D,
LAFRACOL,LAFRACOL,0,NEDOX 40mg x28 TAB-ENT,4569,,,ESOMEPRAZOL 40 mg,#N/D,
LAFRACOL,LAFRACOL,0,NEDOX 40mg x56 TAB-ENT,4569,,,ESOMEPRAZOL 40 mg,#N/D,
LAFRACOL,LAFRACOL,0,NOFERTYL INY x 1 mL x 24 AMP-USO,4620,,,NORETISTERONA ENANTATO 50 mg; ESTRADIOL VALERATO 5 mg,#N/D,
LAFRACOL,LAFRACOL,0,NUEVID 7000 UI x 12 TAB-ENT,3275,,,VITAMINA D3 (COLECALCIFEROL) 7000 UI,#N/D,
LAFRACOL,LAFRACOL,0,NUEVID 7000 UI x24 TAB-ENT,3183,,,VITAMINA D3 (COLECALCIFEROL) 7000 UI,#N/D,
LAFRACOL,LAFRACOL,0,PLURIAMIN 10/10mg x30 TAB-ENT,880,,,PIRIDOXINA HCL 10 mg; DOXILAMINA SUCCINATO 10 mg,#N/D,
LAFRACOL,LAFRACOL,0,POSTDAY 0.75 mg 20 BLIS x 2 TAB-USO,27300,,,LEVONORGESTREL 0.75 mg,#N/D,
LAFRACOL,LAFRACOL,0,PRIVATOS JARABE x 120 mL-ENT,22451,,,EXT. DE HOJAS DE HEDERÁ HÉLIX; EXTRACTO SECO DE PROPOLEO 0.1 g,#N/D,
LAFRACOL,LAFRACOL,0,PROGENDO 100 mg x 30 CAP-ENT,3161,,,PROGESTERONA MICRONIZADA 100 mg,#N/D,
LAFRACOL,LAFRACOL,0,PROGENDO 200 mg x 20 CAP-ENT,5620,,,PROGESTERONA MICRONIZADA 200 mg,#N/D,
LAFRACOL,LAFRACOL,0,RIFAX 200mg x 12 TAB-ENT,1680,,,RIFAXIMINA 200 mg,#N/D,
LAFRACOL,LAFRACOL,0,RIFAX 550 mg x 14 TAB-ENT,3710,,,RIFAXIMINA 550 mg,#N/D,
LAFRACOL,LAFRACOL,0,RIFAX 550mg x28 TAB-ENT,3710,,,RIFAXIMINA 550 mg,#N/D,
LAFRACOL,LAFRACOL,0,SAMEXID 30mg x30 CAP-ENT,5844,,,LISDEXAMFETAMINA DIMESILATO 30 mg,#N/D,
LAFRACOL,LAFRACOL,0,SAMEXID 50mg x30 CAP-ENT,9451,,,LISDEXAMFETAMINA DIMESILATO 50 mg,#N/D,
LAFRACOL,LAFRACOL,0,SAMEXID 70mg x30 CAP-ENT,392820,,,LISDEXAMFETAMINA DIMESILATO 70 mg,#N/D,
LAFRACOL,LAFRACOL,0,SEMAZIN FORTE x1 OV,59301,,,SERTACONAZOL 500mg,#N/D,
LAFRACOL,LAFRACOL,0,SET SINOIMPLANT IMPSUBDER75MGx2+INSU-ENT,96900,,,LEVONORGESTREL 75 mg/CADA IP,#N/D,
LAFRACOL,LAFRACOL,0,SEVEDOL EXTRAFUERTE x 60 TAB,1546,,,ACETAMINOFEN 250 mg; IBUPROFENO 400 mg; CAFEINA 65 mg,#N/D,
LAFRACOL,LAFRACOL,0,SEVEDOL x 60 TAB,1192,,,ACETAMINOFEN 250 mg; ACIDO ACETILSALICILICO 250 mg; CAFEINA 65 mg,#N/D,
LAFRACOL,LAFRACOL,0,SINOVUL 50 BLIS x 21 TAB-USO,3200,,,LEVONORGESTREL 0.15 mg; ETINILESTRADIOL 0.03 mg,#N/D,
LAFRACOL,LAFRACOL,0,SMECTA 3 g x 10 SOB-ENT,5300,,,DIOSMECTITA 3 g,#N/D,
LAFRACOL,LAFRACOL,0,STAFEN 135/10 mg x 30 CAP-ENT,6920,,,ROSUVASTATIN CALC EQV ROSUVASTATINA 10mg; FENOFIBR. COLINA EQ. AC. FENOFIB. 135 mg,#N/D,
LAFRACOL,LAFRACOL,0,STAFEN 135/20 mg x 30 CAP-ENT,6922,,,FENOFIBR. COLINA EQ. AC. FENOFIB. 135 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 20mg,#N/D,
LAFRACOL,LAFRACOL,0,STAFEN 135/5 mg x 30 CAP-ENT,6933,,,FENOFIBR. COLINA EQ. AC. FENOFIB. 135 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 5 mg,#N/D,
