proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct
DISFARMA,BOGOTA,DR. REDDYS,20129727-01,RIVAROXABAN 15MG TAB CX30 (VAROXRED) - DR. REDDYS,22260,RIVAROXABAN,229149.0,Circular 19 de 2024,0.09714203422227459,-206889.0,-90.28579657777254
DISFARMA,CALI,DR. REDDYS,20129727-01,RIVAROXABAN 15MG TAB CX30 (VAROXRED) - DR. REDDYS,22260,RIVAROXABAN,229149.0,Circular 19 de 2024,0.09714203422227459,-206889.0,-90.28579657777254
DISFARMA,GIRON,DR. REDDYS,20129727-01,RIVAROXABAN 15MG TAB CX30 (VAROXRED) - DR. REDDYS,22260,RIVAROXABAN,229149.0,Circular 19 de 2024,0.09714203422227459,-206889.0,-90.28579657777254
DISFARMA,BOGOTA,EVER VALINJECT GMBH,20131527-02,TERLIPRESINA ACETATO 1MG/5ML SOL INY VIALX5ML CX5 (EVERPRESSIN) - EVER VALINJECT GMBH,480750,TERLIPRESINA ACETATO,803749.5025,Circular 19 de 2024,0.598134118285193,-322999.50249999994,-40.1865881714807
DISFARMA,GIRON,EVER VALINJECT GMBH,20131527-02,TERLIPRESINA ACETATO 1MG/5ML SOL INY VIALX5ML CX5 (EVERPRESSIN) - EVER VALINJECT GMBH,480750,TERLIPRESINA ACETATO,803749.5025,Circular 19 de 2024,0.598134118285193,-322999.50249999994,-40.1865881714807
DISFARMA,BOGOTA,IPCA,20132020-11,BISOPROLOL FUMARATO 5MG TAB CX30 (ZOPROLOL) - IPCA,7410,BISOPROLOL FUMARATO,21039.0,Circular 19 de 2024,0.3522030514758306,-13629.0,-64.77969485241694
DISFARMA,CALI,IPCA,20132020-11,BISOPROLOL FUMARATO 5MG TAB CX30 (ZOPROLOL) - IPCA,7410,BISOPROLOL FUMARATO,21039.0,Circular 19 de 2024,0.3522030514758306,-13629.0,-64.77969485241694
DISFARMA,GIRON,IPCA,20132020-11,BISOPROLOL FUMARATO 5MG TAB CX30 (ZOPROLOL) - IPCA,7410,BISOPROLOL FUMARATO,21039.0,Circular 19 de 2024,0.3522030514758306,-13629.0,-64.77969485241694
DISFARMA,BOGOTA,IPCA,20132472-19,BISOPROLOL FUMARATO 10MG TAB CX30 (ZOPROLOL) - IPCA,13140,BISOPROLOL FUMARATO,42078.0,Circular 19 de 2024,0.3122771994866676,-28938.0,-68.77228005133324
DISFARMA,CALI,IPCA,20132472-19,BISOPROLOL FUMARATO 10MG TAB CX30 (ZOPROLOL) - IPCA,13140,BISOPROLOL FUMARATO,42078.0,Circular 19 de 2024,0.3122771994866676,-28938.0,-68.77228005133324
