cum,precio_maximo_venta
19996118-8,314325.0
19996118-4,44005.5
19996120-1,8731.25
19996120-8,873125.0
19996120-5,122237.5
19996120-9,1309687.5
19996120-2,17462.5
19996120-6,183356.25
19996120-3,43656.25
19996120-7,436562.5
19996120-4,61118.75
19996119-1,20955.0
19996119-8,2095500.0
19996119-5,293370.0
19996119-9,3143250.0
19996119-2,41910.0
19996119-6,440055.0
19996119-3,104775.0
19996119-7,1047750.0
19996119-4,146685.0
20009872-1,34925.0
20009872-2,52387.5
20009872-3,69850.0
20009872-4,104775.0
20009872-5,13970.0
20010293-1,87312.5
20010293-2,130968.75
20010293-3,174625.0
20010293-4,261937.5
20010293-5,34925.0
20010795-1,209550.0
20010795-3,314325.0
20010795-2,419100.0
20010795-4,628650.0
20010795-5,83820.0
20010292-1,139700.0
20010292-2,209550.0
20010292-3,279400.0
20010292-4,419100.0
20010292-5,55880.0
20015464-1,34925.0
20015464-7,34925.0
20015464-5,52387.5
20015464-8,6985.0
20015464-9,10477.5
20015464-2,104775.0
20015464-4,17462.5
20015464-6,17462.5
20015464-3,209550.0
20015396-4,62865.0
20015396-6,62865.0
20015396-15,628650.0
20015396-1,94297.5
20015396-17,12573.0
20015396-9,125730.0
20015396-16,1257300.0
20015396-19,18859.5
20015396-2,188595.0
20015396-20,188595.0
20015396-10,251460.0
20015396-5,31432.5
20015396-7,31432.5
20015396-11,314325.0
20015396-21,377190.0
20015396-3,377190.0
20015396-18,44005.5
20015396-8,44005.5
20015396-12,440055.0
20015396-13,502920.0
20015396-14,565785.0
20015465-4,87312.5
20015465-9,87312.5
20015465-18,873125.0
20015465-1,130968.75
20015465-5,130968.75
20015465-20,17462.5
20015465-12,174625.0
20015465-19,1746250.0
20015465-22,26193.75
20015465-2,261937.5
20015465-13,349250.0
20015465-23,43656.25
20015465-6,43656.25
20015465-8,43656.25
20015465-14,436562.5
20015465-10,523875.0
20015465-3,523875.0
20015465-11,61118.75
20015465-21,61118.75
20015465-15,611187.5
20015465-16,698500.0
20015465-17,785812.5
20015394-2,139700.0
20015394-22,139700.0
20015394-6,139700.0
20015394-7,139700.0
20015394-17,1397000.0
20015394-3,209550.0
20015394-19,27940.0
20015394-11,279400.0
20015394-18,2794000.0
20015394-21,41910.0
20015394-4,419100.0
20015394-12,558800.0
20015394-1,69850.0
20015394-8,69850.0
20015394-9,69850.0
20015394-13,698500.0
20015394-5,838200.0
20015394-10,97790.0
20015394-20,97790.0
20015394-14,977900.0
20015394-15,1117600.0
20015394-16,1257300.0
20015467-2,209550.0
20015467-14,2095500.0
20015467-3,314325.0
20015467-16,41910.0
20015467-8,419100.0
20015467-15,4191000.0
20015467-4,628650.0
20015467-9,838200.0
20015467-1,104775.0
20015467-6,104775.0
20015467-10,1047750.0
20015467-5,1257300.0
20015467-17,146685.0
20015467-7,146685.0
20015467-11,1466850.0
20015467-12,1676400.0
20015467-13,1885950.0
19943625-2,48895.0
19943625-3,73342.5
19943625-4,97790.0
19943625-1,24447.5
19943625-5,24447.5
19943862-12,88011.0
19943862-3,88011.0
19943862-6,88011.0
19943862-9,88011.0
19943862-4,132016.5
19943862-10,176022.0
19943862-13,176022.0
19943862-5,176022.0
19943862-7,176022.0
19943862-1,44005.5
19943862-11,44005.5
19943862-2,44005.5
19943862-8,44005.5
19943626-1,122237.5
19943626-3,122237.5
19943626-4,183356.25
19943626-5,244475.0
19943626-7,244475.0
19943626-2,61118.75
19943626-6,61118.75
19943627-2,195580.0
19943627-6,195580.0
19943627-3,293370.0
19943627-4,391160.0
19943627-7,391160.0
19943627-1,97790.0
19943627-5,97790.0
19943861-2,293370.0
19943861-7,293370.0
19943861-3,586740.0
19943861-8,586740.0
19943861-1,146685.0
19943861-4,146685.0
20027869-1,391160.0
20027869-2,391160.0
20027865-1,488950.0
20005584-9,132016.5
20005584-3,88011.0
20005584-8,88011.0
20005584-1,12573.0
20005584-6,12573.0
20005584-4,132016.5
20005584-10,176022.0
20005584-5,176022.0
20005584-2,44005.5
20005584-7,44005.5
20004132-3,122237.5
20004132-8,122237.5
20004132-1,17462.5
20004132-6,17462.5
20004132-4,183356.25
20004132-9,183356.25
20004132-10,244475.0
20004132-5,244475.0
20004132-2,61118.75
20004132-7,61118.75
20005583-1,139700.0
20005583-4,195580.0
20005583-9,195580.0
20005583-2,27940.0
20005583-7,27940.0
20005583-10,293370.0
20005583-5,293370.0
20005583-11,391160.0
20005583-6,391160.0
20005583-3,97790.0
20005583-8,97790.0
20004999-4,48895.0
20004999-2,6985.0
20004999-5,73342.5
20004999-6,97790.0
20004999-3,24447.5
20005319-3,293370.0
20005319-8,293370.0
20005319-1,41910.0
20005319-6,41910.0
20005319-4,440055.0
20005319-9,440055.0
20005319-10,586740.0
20005319-5,586740.0
20005319-2,146685.0
20005319-7,146685.0
19989450-2,195580.0
19989450-3,293370.0
19989450-4,391160.0
19989450-5,55880.0
19989450-1,97790.0
19989450-6,97790.0
19982261-3,293370.0
19982261-4,440055.0
19982261-5,586740.0
19982261-1,83820.0
19982261-2,146685.0
20131612-1,444298.88
20131612-2,2221494.38
20131614-1,79973.8
20131614-2,399868.99
19982404-1,444298.88
19982404-2,2221494.38
19982405-1,79973.8
19982405-2,399868.99
20056375-16,515300.7
20056375-26,515300.7
20056375-10,5153007.0
20056375-38,5153007.0
20056375-4,5153007.0
20056375-17,721420.98
20056375-27,721420.98
20056375-11,9275412.6
20056375-5,9275412.6
20056375-18,1030601.4
20056375-28,1030601.4
20056375-19,1442841.96
20056375-29,1442841.96
20056375-20,1545902.1
20056375-30,1545902.1
20056375-21,2061202.8
20056375-31,2061202.8
20056375-22,2576503.5
20056375-32,2576503.5
20056375-6,25765035.0
20056375-1,2885683.92
20056375-23,2885683.92
20056375-33,2885683.92
20056375-7,2885683.92
20056375-2,3091804.2
20056375-24,3091804.2
20056375-34,3091804.2
20056375-8,3091804.2
20056375-15,360710.49
20056375-25,360710.49
20056375-35,4328525.88
20056375-3,4637706.3
20056375-36,4637706.3
20056375-9,4637706.3
20056375-37,4946886.72
20050749-17,2576503.5
20050749-3,2576503.5
20050749-15,25765035.0
20050749-29,25765035.0
20050749-35,25765035.0
20050749-18,3607104.9
20050749-4,3607104.9
20050749-30,46377063.0
20050749-36,46377063.0
20050749-19,5153007.0
20050749-5,5153007.0
20050749-20,7214209.8
20050749-6,7214209.8
20050749-21,7729510.5
20050749-7,7729510.5
20050749-22,10306014.0
20050749-8,10306014.0
20050749-23,12882517.5
20050749-9,12882517.5
20050749-31,128825175.0
20050749-10,14428419.6
20050749-24,14428419.6
20050749-26,14428419.6
20050749-32,14428419.6
20050749-11,15459021.0
20050749-25,15459021.0
20050749-27,15459021.0
20050749-33,15459021.0
20050749-16,1803552.45
20050749-2,1803552.45
20050749-12,21642629.4
20050749-13,23188531.5
20050749-28,23188531.5
20050749-34,23188531.5
20050749-14,24734433.6
20147498-1,1060178.0
20150199-1,1060178.0
20137954-1,1060178.0
20101081-1,1060178.0
20192934-1,1060178.0
20135007-1,1060178.0
20097294-1,1060178.0
20111777-1,1060178.0
20097897-1,1060178.0
20097897-8,106017800.0
20097897-2,2120356.0
20097897-6,26504450.0
20097897-3,3180534.0
20097897-4,4240712.0
20097897-5,5300890.0
20097897-7,53008900.0
20143426-1,1060178.0
20116725-1,1060178.0
20099610-1,1060178.0
20012115-1,1060178.0
20102276-1,1060178.0
20102276-2,1060178.0
20102276-3,1060178.0
19907598-1,17615.0
203491-1,352300.0
203491-2,17615.0
20124291-1,3523.0
20124291-4,35230.0
20124291-2,10569.0
20124291-3,17615.0
20122985-2,88075.0
20122985-5,88075.0
20122985-1,17615.0
20122985-4,17615.0
20122985-3,176150.0
20122985-6,176150.0
49176-1,17615.0
49176-2,17615.0
25230-1,3523.0
25230-3,35230.0
25230-2,10569.0
20081314-1,10569.0
229421-1,3788057.0
229421-2,3788057.0
229421-3,3788057.0
20035386-2,1724510.0
20035386-1,1724510.0
20046793-1,1585324.8
20195592-1,1220622.0
20195592-2,1220622.0
20195592-3,1220622.0
20195592-4,1220622.0
20152642-1,1220622.0
20179635-1,1220622.0
20173145-1,4882488.0
19956000-1,1220622.0
19956000-2,1220622.0
19956001-1,4882488.0
19956001-2,4882488.0
19956001-3,4882488.0
20119562-2,1220622.0
20119562-1,4882488.0
20149223-1,1220622.0
20149223-3,1220622.0
20149223-2,4882488.0
20149223-4,4882488.0
20169679-1,1220622.0
20169679-3,1220622.0
20169679-2,4882488.0
20169679-4,4882488.0
20159173-1,1220622.0
20159173-4,1220622.0
20159173-2,4882488.0
20159173-3,4882488.0
20058540-1,136830.0
20058540-5,136830.0
20058540-3,27366.0
20058540-2,410490.0
20058540-4,68415.0
19981206-2,45610.0
19981206-5,45610.0
19981206-3,9122.0
19981206-1,136830.0
19981206-4,22805.0
