cum,precio_maximo_venta,circular_origen
228320-02,5405.0,Circular 19 de 2024
228320-01,10810.0,Circular 19 de 2024
228320-03,16215.0,Circular 19 de 2024
20047794-01,60780.0,Circular 19 de 2024
20047794-02,121560.0,Circular 19 de 2024
20047794-03,182340.0,Circular 19 de 2024
20038017-01,170184.0,Circular 19 de 2024
20038017-02,182340.0,Circular 19 de 2024
20064693-04,60780.0,Circular 19 de 2024
20064693-02,607800.0,Circular 19 de 2024
20064693-05,607800.0,Circular 19 de 2024
20064693-01,182340.0,Circular 19 de 2024
20064693-03,182340.0,Circular 19 de 2024
20039756-02,60780.0,Circular 19 de 2024
20056796-03,60780.0,Circular 19 de 2024
20076657-09,607800.0,Circular 19 de 2024
20039756-13,607800.0,Circular 19 de 2024
20056796-01,607800.0,Circular 19 de 2024
20056796-02,607800.0,Circular 19 de 2024
20076657-01,85092.0,Circular 19 de 2024
20039756-03,85092.0,Circular 19 de 2024
20039756-04,121560.0,Circular 19 de 2024
20076657-02,170184.0,Circular 19 de 2024
20041786-01,170184.0,Circular 19 de 2024
20039756-05,170184.0,Circular 19 de 2024
20076657-03,182340.0,Circular 19 de 2024
20041786-02,182340.0,Circular 19 de 2024
20086962-01,182340.0,Circular 19 de 2024
20086962-02,182340.0,Circular 19 de 2024
20039756-06,182340.0,Circular 19 de 2024
20076657-10,1823400.0,Circular 19 de 2024
20041786-03,243120.0,Circular 19 de 2024
20076657-04,303900.0,Circular 19 de 2024
20041786-04,303900.0,Circular 19 de 2024
20039756-07,303900.0,Circular 19 de 2024
20076657-11,3039000.0,Circular 19 de 2024
20076657-05,340368.0,Circular 19 de 2024
20039756-08,340368.0,Circular 19 de 2024
20076657-06,364680.0,Circular 19 de 2024
20039756-09,364680.0,Circular 19 de 2024
20039756-01,42546.0,Circular 19 de 2024
20076657-07,510552.0,Circular 19 de 2024
20039756-10,510552.0,Circular 19 de 2024
20076657-08,547020.0,Circular 19 de 2024
20039756-11,547020.0,Circular 19 de 2024
20039756-12,595644.0,Circular 19 de 2024
20075488-01,182340.0,Circular 19 de 2024
19993886-01,60780.0,Circular 19 de 2024
19993886-04,607800.0,Circular 19 de 2024
19993886-02,121560.0,Circular 19 de 2024
19993886-03,182340.0,Circular 19 de 2024
206742-01,170184.0,Circular 19 de 2024
206742-02,170184.0,Circular 19 de 2024
206742-03,170184.0,Circular 19 de 2024
20008399-01,60780.0,Circular 19 de 2024
20008399-05,60780.0,Circular 19 de 2024
20008399-03,12156.0,Circular 19 de 2024
