proveedor,laboratorio,cum,descripcion,precio,iva,principio_activo
LAFRACOL,LAFRACOL,,FEMOSTON CONTI X 28 TAB-ENT,722.0,,ESTRADIOL HEMIHIDRATO EQV. ESTRADIOL 1MG; DIDROGESTERONA 5 MG
LAFRACOL,LAFRACOL,,FEXU 120mg x20 TAB-ENT,3478.0,,FEXOFENADINA CLORHIDRATO 120mg
LAFRACOL,LAFRACOL,,FEXU 180mg x20 TAB-ENT,6338.0,,FEXOFENADINA CLORHIDRATO 180 mg
LAFRACOL,LAFRACOL,,FINIGAX MASTIC CEREZA x36 TAB,1045.0,,SIMETICONA 125 mg
LAFRACOL,LAFRACOL,,FINIGAX MASTIC MENTA x36 TAB,1096.0,,SIMETICONA 125 mg
LAFRACOL,LAFRACOL,,FLEXIMAX ACE X 14 TAB-ENT,3466.0,,ACETAMINOFEN 325 mg; TIOCOLCHICOSIDO 4 mg
LAFRACOL,LAFRACOL,,FLEXIMAX NAP X 14 TAB-ENT,2853.0,,NAPROXENO 250 mg; TIOCOLCHICOSIDO 4 mg
LAFRACOL,LAFRACOL,,FLUCIFEM 1000/75 mg x 4 TAB-ENT,43064.0,,SECNIDAZOL 1000 mg; FLUCONAZOL 75 mg
LAFRACOL,LAFRACOL,,FOCUS 0.04 mg FCO x10ml-ENT,156662.0,,TRAVOPROST 0.04 mg/mL
LAFRACOL,LAFRACOL,,FUNIDE-DERM CREM 1% TBO x 15g-ENT,15553.0,,CADA 100g CONTIENE TERBINAFINA HCL 1g
LAFRACOL,LAFRACOL,,FUNIDE-DERMATIC 1% LOCION x 30mL-ENT,17004.0,,TERBINAFINA HCL AL 1%
LAFRACOL,LAFRACOL,,FUNIDE-DERMATIC 250 mg x 14 TAB-ENT,3038.0,,TERBINAFINA HCL EQV TERBINAFINA 250 mg
LAFRACOL,LAFRACOL,,FUZOLPAULY 150 mg x 4 CAP-ENT,10948.0,,#N/D
LAFRACOL,LAFRACOL,,GASTRUM 10 mg x 48 TAB,986.0,,FAMOTIDINA 10 mg
LAFRACOL,LAFRACOL,,GIGI 12 CJ x7 STICKS,7462.0,,LACTOBACILLUS RHAMNOSUS LGG; BIFIDOBACTERIUM ANIMALS SUBSP. BB-12
LAFRACOL,LAFRACOL,,GIGI 12 FCO X 15 CAP,3187.0,,N/A SUPLEMENTO DIETARIO
LAFRACOL,LAFRACOL,,GYNCLOX 200/100 mg x 3 OVULOS-ENT,14353.0,,CLINDAMICINA FOSF EQV CLINDAMICINA 100mg; CLOTRIMAZOL 200 mg
LAFRACOL,LAFRACOL,,GYNCLOX CREMA VAG TBO x 40g-ENT,49652.0,,CLOTRIMAZOL 1.0%; CLINDAMICINA FOSF EQV CLINDAMICINA 2 G
LAFRACOL,LAFRACOL,,GYNETS 4mg x28 TAB,1197.0,,DROSPIRENONA 4mg
LAFRACOL,LAFRACOL,,GYNFLU D x 4 TAB-ENT,10253.0,,SECNIDAZOL 1000 mg; FLUCONAZOL 75 mg
LAFRACOL,LAFRACOL,,GYNORELLE 2/0.02 mg x 28 COMP-ENT,762.0,,CLORMADINONA ACETATO 2 mg; ETINILESTRADIOL 0.02 mg
LAFRACOL,LAFRACOL,,GYNORELLE 30 x21 COMP-ENT,1016.0,,ETINILESTRADIOL 0.03 mg; CLORMADINONA ACETATO 2 mg
LAFRACOL,LAFRACOL,,IBONE D 150 mg/12000 UI x 1 TAB-ENT,143548.0,,IBANDRON/SOD EQV ACID IBANDRONICO 150mg; VITAMINA D3 12000 UI
LAFRACOL,LAFRACOL,,IBONE D 150 mg/12000 UI x3 TAB-ENT,90036.0,,IBANDRON/SOD EQV ACID IBANDRONICO 150mg; VITAMINA D3 12000 UI
LAFRACOL,LAFRACOL,,INDUSTOL 200 mcg x 8 TAB-USO,2860.0,,MISOPROSTOL DISP1%EQV MISOPROSTOL 200mcg
LAFRACOL,LAFRACOL,,IZINOVA 2 FRASCOS X 6 ONZAS,46420.0,,SULFATO DE SODIO ANHIDRO 17.51g; SULFATO DE POTASIO 3.13g; SULFATO DE MAGNESIO HEPTAHIDRAT 3.276g
LAFRACOL,LAFRACOL,,JEX 1mg/2mg x28 TAB,1245.8929,,"ESTRADIOL HEMIHIDRATO EQV. ESTRADIOL 1MG; DROSPIRENONA MICRONIZADA 2,0mg"
LAFRACOL,LAFRACOL,,KAZIDE 200 mg DISPER x 6 TAB-ENT,1943.0,,NITAZOXANIDA 200 mg
LAFRACOL,LAFRACOL,,KAZIDE 500 mg x 6 TAB-ENT,4096.0,,NITAZOXANIDA 500 mg
LAFRACOL,LAFRACOL,,LACORYL 60 mg x 14 CAP-ENT,6812.0,,PINUS PINASTER60mg eqv PROCIANIDINA 42mg
LAFRACOL,LAFRACOL,,LACORYL 60mg x28 CAP-ENT,6304.0,,PINUS PINASTER60mg eqv PROCIANIDINA 42mg
LAFRACOL,LAFRACOL,,LISIPRIL 10 mg x 10 TAB-ENT,5917.0,,LISINOPRIL DIHID EQV LISINOPRIL 10 mg
LAFRACOL,LAFRACOL,,LISIPRIL 20 mg x 10 TAB-ENT,10596.0,,LISINOPRIL DIHID EQV LISINOPRIL 20 mg
LAFRACOL,LAFRACOL,,LISIPRIL 5 mg x 20 TAB-ENT,3089.0,,LISINOPRIL DIHID EQ LISINOPRIL BASE 5 mg
LAFRACOL,LAFRACOL,,LUMBAL FORTE X 36 TAB,2174.0,,CAFEINA 65 mg; NAPROXENO 550 mg
LAFRACOL,LAFRACOL,,LUMBAL x 48 TAB,1466.0,,NAPROXENO SÓDICO 220 mg; CAFEINA 50 mg
LAFRACOL,LAFRACOL,,MAGNION 100 UI x 1 VIAL PAIN - ENT,451500.0,,TOXINA BOTULINICA TIPO A 100U
LAFRACOL,LAFRACOL,,MAGNION 200 UI x 1 VIAL PAIN - ENT,828970.0,,TOXINA BOTULINICA TIPO A 200 UI
LAFRACOL,LAFRACOL,,MAGNION 50 UI x 1 VIAL PAIN - ENT,319900.0,,TOXINA CLORTRIDIUM BOTULINUM TIP A 50 UI
LAFRACOL,LAFRACOL,,MENODIN 1 mL x 1 AMP-ENT,25479.0,,HEXAHIDROBENZOATO DE ESTRADIOL 5 mg
LAFRACOL,LAFRACOL,,MENTOSANIL 100 mg X 90 CAP-ENT,16502.0,,PENTOSAN POLISULFATO 100 mg
LAFRACOL,LAFRACOL,,MOVIDOL M 220/50mg x36 TAB,1205.0,,NAPROXENO 220 mg; CAFEINA 50 mg
LAFRACOL,LAFRACOL,,MOVIDOL x 48 TAB,1122.0,,NAPROXENO 220 mg; ACETAMINOFEN 250 mg; CAFEINA 65 mg
LAFRACOL,LAFRACOL,,NEDOX 20mg x14 TAB-ENT,5735.0,,ESOMEPRAZOL 20 mg
LAFRACOL,LAFRACOL,,NEDOX 20mg x28 TAB-ENT,3907.0,,ESOMEPRAZOL 20 mg
LAFRACOL,LAFRACOL,,NEDOX 20mg x56 TAB-ENT,3907.0,,ESOMEPRAZOL 20 mg
LAFRACOL,LAFRACOL,,NEDOX 40mg x14 TAB-ENT,6799.0,,ESOMEPRAZOL 40 mg
LAFRACOL,LAFRACOL,,NEDOX 40mg x28 TAB-ENT,4569.0,,ESOMEPRAZOL 40 mg
LAFRACOL,LAFRACOL,,NEDOX 40mg x56 TAB-ENT,4569.0,,ESOMEPRAZOL 40 mg
LAFRACOL,LAFRACOL,,NOFERTYL INY x 1 mL x 24 AMP-USO,4620.0,,NORETISTERONA ENANTATO 50 mg; ESTRADIOL VALERATO 5 mg
LAFRACOL,LAFRACOL,,NUEVID 7000 UI x 12 TAB-ENT,3275.0,,VITAMINA D3 (COLECALCIFEROL) 7000 UI
LAFRACOL,LAFRACOL,,NUEVID 7000 UI x24 TAB-ENT,3183.0,,VITAMINA D3 (COLECALCIFEROL) 7000 UI
LAFRACOL,LAFRACOL,,PLURIAMIN 10/10mg x30 TAB-ENT,880.0,,PIRIDOXINA HCL 10 mg; DOXILAMINA SUCCINATO 10 mg
LAFRACOL,LAFRACOL,,POSTDAY 0.75 mg 20 BLIS x 2 TAB-USO,27300.0,,LEVONORGESTREL 0.75 mg
