proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct,motivo
DISFARMA,GIRON,NOVARTIS,19980966-03,HIDROCLOROTIAZIDA+VALSARTAN 12.5MG+320MG TAB CX28 (DIOVAN HCT) - NOVARTIS,73080,HIDROCLOROTIAZIDA+VALSARTAN,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,LUNDBECK,19981002-02,ESCITALOPRAM 20MG TAB CX14 (LEXAPRO) - LUNDBECK,77168,ESCITALOPRAM,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,LUNDBECK,19981002-02,ESCITALOPRAM 20MG TAB CX14 (LEXAPRO) - LUNDBECK,77168,ESCITALOPRAM,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,LUNDBECK,19981002-02,ESCITALOPRAM 20MG TAB CX14 (LEXAPRO) - LUNDBECK,77168,ESCITALOPRAM,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,MONTE VERDE,19981211-02,PANTOPRAZOL SODICO 20MG TAB LIB RET CX14 (SEGREGAM) - MONTE VERDE,81690,PANTOPRAZOL SODICO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,MONTE VERDE,19981211-02,PANTOPRAZOL SODICO 20MG TAB LIB RET CX14 (SEGREGAM) - MONTE VERDE,81690,PANTOPRAZOL SODICO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,VENUS,19982071-01,ETOPOSIDO 100MG/5ML SOL INY AMPX5ML CX1 - VENUS,9461,ETOPOSIDO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,VENUS,19982071-01,ETOPOSIDO 100MG/5ML SOL INY AMPX5ML CX1 - VENUS,9461,ETOPOSIDO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,ALPHARMA,19982073-02,CARBOPLATINO 450MG/45ML SOL INY C*1 VIAL X 45ML - ALPHARMA,107778,CARBOPLATINO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,ALPHARMA,19982073-02,CARBOPLATINO 450MG/45ML SOL INY C*1 VIAL X 45ML - ALPHARMA,107778,CARBOPLATINO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,ALPHARMA,19982073-02,CARBOPLATINO 450MG/45ML SOL INY C*1 VIAL X 45ML - ALPHARMA,107778,CARBOPLATINO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,GOOD NATURAL,19982292-01,VITAMINA D3 400UI TAB FCOX100 - GOOD NATURAL,54600,VITAMINA D3,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,HUMAX,19982431-02,ZOLPIDEM 10MG TAB CX30 - HUMAX,6960,ZOLPIDEM,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,HUMAX,19982431-02,ZOLPIDEM 10MG TAB CX30 - HUMAX,6960,ZOLPIDEM,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,GENFAR,19982755-02,DESLORATADINA 5MG TAB CX10 - GENFAR,2230,DESLORATADINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,GENFAR,19982755-02,DESLORATADINA 5MG TAB CX10 - GENFAR,2230,DESLORATADINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,GENFAR,19982755-02,DESLORATADINA 5MG TAB CX10 - GENFAR,2230,DESLORATADINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,PENTACOOP,19982839-01,VITAMINA C 100MG/ML (10%) SOL ORL GTS FCOX30ML CX1 - PENTACOOP,1945,VITAMINA C,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,PENTACOOP,19982839-01,VITAMINA C 100MG/ML (10%) SOL ORL GTS FCOX30ML CX1 - PENTACOOP,1945,VITAMINA C,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,PENTACOOP,19982839-01,VITAMINA C 100MG/ML (10%) SOL ORL GTS FCOX30ML CX1 - PENTACOOP,1945,VITAMINA C,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,MEGALABS,19982897-02,BROMURO DE OTILONIO 40MG TAB CX30 (ORLIX) - MEGALABS,16170,BROMURO DE OTILONIO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,MEGALABS,19982897-02,BROMURO DE OTILONIO 40MG TAB CX30 (ORLIX) - MEGALABS,16170,BROMURO DE OTILONIO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,MEGALABS,19982897-02,BROMURO DE OTILONIO 40MG TAB CX30 (ORLIX) - MEGALABS,16170,BROMURO DE OTILONIO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,FARMA DE COLOMBIA,19982964-05,ACIDO FOLICO+HIERRO FERRICO POLIMALTOSO 1000MCG+100MG TAB CX30 (HERREX FOL) - FARMA DE COLOMBIA,52500,ACIDO FOLICO+HIERRO FERRICO POLIMALTOSO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,FARMA DE COLOMBIA,19982964-05,ACIDO FOLICO+HIERRO FERRICO POLIMALTOSO 1000MCG+100MG TAB CX30 (HERREX FOL) - FARMA DE COLOMBIA,52500,ACIDO FOLICO+HIERRO FERRICO POLIMALTOSO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,ROPSOHN,19983141-04,ACIDO TRANEXAMICO 500MG TAB CX10 (TRANEXAM) - ROPSOHN,17570,ACIDO TRANEXAMICO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,ROPSOHN,19983141-04,ACIDO TRANEXAMICO 500MG TAB CX10 (TRANEXAM) - ROPSOHN,17570,ACIDO TRANEXAMICO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,ROPSOHN,19983141-04,ACIDO TRANEXAMICO 500MG TAB CX10 (TRANEXAM) - ROPSOHN,17570,ACIDO TRANEXAMICO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,LAFRANCOL,19983165-28,ACETAMINOFEN+CAFEINA+IBUPROFENO 250MG+65MG+400MG TAB CX60 (SEVEDOL EXTRAFUERTE) - LAFRANCOL,84720,ACETAMINOFEN+CAFEINA+IBUPROFENO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,LAFRANCOL,19983165-28,ACETAMINOFEN+CAFEINA+IBUPROFENO 250MG+65MG+400MG TAB CX60 (SEVEDOL EXTRAFUERTE) - LAFRANCOL,84720,ACETAMINOFEN+CAFEINA+IBUPROFENO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,LAFRANCOL,19983165-28,ACETAMINOFEN+CAFEINA+IBUPROFENO 250MG+65MG+400MG TAB CX60 (SEVEDOL EXTRAFUERTE) - LAFRANCOL,84720,ACETAMINOFEN+CAFEINA+IBUPROFENO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,MERCK,19983328-02,METFORMINA 750MG TAB LIB PRO CX30 (GLUCOPHAGE XR) - MERCK,90990,METFORMINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,MERCK,19983328-02,METFORMINA 750MG TAB LIB PRO CX30 (GLUCOPHAGE XR) - MERCK,90990,METFORMINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,MERCK,19983328-02,METFORMINA 750MG TAB LIB PRO CX30 (GLUCOPHAGE XR) - MERCK,90990,METFORMINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,VON HALLER,19983446-02,NISTATINA 500.000UI TAB CX24 (NISTAVON) - VON HALLER,12192,NISTATINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,NOVAMED,19983467-07,AMBROXOL+SALBUTAMOL (15MG+2MG)/5ML JBE FCOX120ML CX1 (MUXOL NIÑOS) - NOVAMED,26561,AMBROXOL+SALBUTAMOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,NOVAMED,19983467-07,AMBROXOL+SALBUTAMOL (15MG+2MG)/5ML JBE FCOX120ML CX1 (MUXOL NIÑOS) - NOVAMED,26561,AMBROXOL+SALBUTAMOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,NOVAMED,19983467-07,AMBROXOL+SALBUTAMOL (15MG+2MG)/5ML JBE FCOX120ML CX1 (MUXOL NIÑOS) - NOVAMED,26561,AMBROXOL+SALBUTAMOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,NOVAMED,19983468-07,AMBROXOL+SALBUTAMOL (30MG+4MG)/5ML JBE FCOX120ML CX1 (MUXOL ADULTOS) - NOVAMED,26561,AMBROXOL+SALBUTAMOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,NOVAMED,19983468-07,AMBROXOL+SALBUTAMOL (30MG+4MG)/5ML JBE FCOX120ML CX1 (MUXOL ADULTOS) - NOVAMED,26561,AMBROXOL+SALBUTAMOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,NOVAMED,19983468-07,AMBROXOL+SALBUTAMOL (30MG+4MG)/5ML JBE FCOX120ML CX1 (MUXOL ADULTOS) - NOVAMED,26561,AMBROXOL+SALBUTAMOL,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,MEGALABS,19983817-01,ADAPALENO 0.3G/100G (0.3%) GEL TOP TUBX30G CX1 (ZUDENINA F) - MEGALABS,89000,ADAPALENO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,MEGALABS,19983817-01,ADAPALENO 0.3G/100G (0.3%) GEL TOP TUBX30G CX1 (ZUDENINA F) - MEGALABS,89000,ADAPALENO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,MEGALABS,19983817-01,ADAPALENO 0.3G/100G (0.3%) GEL TOP TUBX30G CX1 (ZUDENINA F) - MEGALABS,89000,ADAPALENO,,,,,,SIN_REGULACION_EN_BD
DISFARMA,BOGOTA,FARMATECH,19984412-01,DIHIDROCODEINA 2.42MG/ML JBE FCOX120ML - FARMATECH,5090,DIHIDROCODEINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,CALI,FARMATECH,19984412-01,DIHIDROCODEINA 2.42MG/ML JBE FCOX120ML - FARMATECH,5090,DIHIDROCODEINA,,,,,,SIN_REGULACION_EN_BD
DISFARMA,GIRON,FARMATECH,19984412-01,DIHIDROCODEINA 2.42MG/ML JBE FCOX120ML - FARMATECH,5090,DIHIDROCODEINA,,,,,,SIN_REGULACION_EN_BD
