laboratorio,proveedor,cum,descripcion,precio,iva_pct,principio_activo
LAFRANCOL,PHARMAPLUS,20086917-01,DOXU 5/250 MG,6196.0,0.0,NAPROXENO 250 MGHIDROCODONA BITARTRATO 5 MG
LAFRANCOL,PHARMAPLUS,20040666-01,DUSPATALIN SUSPENSION 10 MG,67159.0,0.0,CLORHIDRATO DE MEBERVERINA 1.00 G
LAFRANCOL,PHARMAPLUS,20083126-06,FLEXIMAX ACE,4557.0,0.0,ACETAMINOFEN 325 MGTIOCOLCHICOSIDO 4 MG
LAFRANCOL,PHARMAPLUS,20025390-12,STAFEN 135/20 MG,11303.0,0.0,FENOFIBR. COLINA EQ. AC. FENOFIB. 135 MGROSUVASTATIN CALC EQV ROSUVASTATINA 20MG
LAFRANCOL,PHARMAPLUS,20093972-10,SUAXINA 85/500 MG,17472.0,0.0,SUMATRIPTAN 85 MGNAPROXENO 500 MG
LAFRANCOL,PHARMAPLUS,59081-06,TROMIX 500 MG,18347.0,0.0,AZITROMICINA DIH EQV. 500MG AZITROMICINA
CLOSTER DERMA,PHARMAPLUS,20145093-01,GOTRONAL 500 MG,2200.0,0.0,ACIDO TRANEXAMICO 500mg
LAFRANCOL,PHARMAPLUS,20101174-03,CARDIOL 25MG,3168.0,0.0,CLORTALIDONA 25 MG
LAFRANCOL,PHARMAPLUS,20104101-02,DABIX 80/12.5MG,2906.0,0.0,"VALSARTAN 80 MGCLORTALIDONA 12,5 MG"
SERVIER,PHARMAPLUS,19998580-01,COVERSYL A 5MG CJA X 30 COMP,632.0,0.0,PERINDOPRIL ARGINA 5MG
SIEGFRIED FARMA,PHARMAPLUS,20120938-01,DEOPRAL 60 MG,7335.0,0.0,DELANZOPRAZOL SESQUIHIDRATO EQUIVALENTE A DELANZOPRAZOL
NOVAMED,PHARMAPLUS,20150573-01,UROFOS® X 1 SOBRE,18740.0,0.0,FOSFOMICINA TROMETAMOL 3G
SIEGFRIED FARMA,PHARMAPLUS,20113479-01,ACEMUK JARABE,26821.0,0.0,ACETILCISTEÍNA 2G/100ML
SIEGFRIED FARMA,PHARMAPLUS,20123914-03,INVICTUS 20 MG,17128.0,0.0,TADALAFILO
SIEGFRIED FARMA,PHARMAPLUS,20123914-02,INVICTUS 20 MG,18715.0,0.0,TADALAFILO
SIEGFRIED FARMA,PHARMAPLUS,20108879-01,ROGASTRIL PLUS SUSPENSION,79339.0,0.0,CINITAPRIDA/SIMETICONA
TECNOQUIMICAS MK,PHARMAPLUS,19925053-03,SALBUTAMOL MK 100MCG/DOSIS,20437.0,0.0,SALBUTAMOL 100 MCG/DOSIS SOLUCION PARA INHALAR
TECNOQUIMICAS MK,PHARMAPLUS,20085391-16,VALACICLOVIR MK 500MG,9020.0,0.0,VALACICLOVIR CLORHIDRATO HIDRATO 500 MG TAB CUB
TECNOQUIMICAS MK,PHARMAPLUS,19989598-06,MONTELUKAST MK 5MG,1146.0,0.0,MONTELUKAST 5 MG TABLETA MASTICABLE
TECNOQUIMICAS MK,PHARMAPLUS,19989484-06,MONTELUKAST MK 10MG,2116.0,0.0,MONTELUKAST 10 MG TABLETA CUBIERTA
TECNOQUIMICAS MK,PHARMAPLUS,20020145-08,NITAZOXANIDA MK 500MG,5364.0,0.0,NITAZOXANIDA 500 MG TABLETA CUBIERTA
TECNOQUIMICAS MK,PHARMAPLUS,29749-01,NORFLOXACINA MK 400MG,545.0,0.0,NORFLOXACINA 400 MG TABLETA RECUBIERTA
TECNOQUIMICAS MK,PHARMAPLUS,20102045-21,PANTOPRAZOL MK 20 MG TAB,2660.0,0.0,PANTOPRAZOL 20 MG TABLETA
TECNOQUIMICAS MK,PHARMAPLUS,20084373-02,PREDNISOLONA MK 1MG/ NIÑOS,53960.0,0.0,PREDNISOLONA SODIO FOSFATO 1 MG JBE
TECNOQUIMICAS MK,PHARMAPLUS,20600-01,PREDNISOLONA MK 5MG,468.0,0.0,PREDNISOLONA 5 MG TABLETA
TECNOQUIMICAS MK,PHARMAPLUS,19943272-01,RIFAMICINA MK 1%,31192.0,0.0,RIFAMICINA SODICA 1 GR SOLUCION SPRAY
TECNOQUIMICAS MK,PHARMAPLUS,42808-01,LORATADINA MK 10MG,343.0,0.0,LORATADINA 10 MG TABLETA
TECNOQUIMICAS MK,PHARMAPLUS,19953919-08,ESOMEPRAZOL MK 40MG,2676.0,0.0,ESOMEPRAZOL 40 MG TABLETA CUBIERTA
TECNOQUIMICAS MK,PHARMAPLUS,1980496-01,METRONIDAZOL MK 500MG,225.0,0.0,METRONIDAZOL 500 MG TABLETA
TECNOQUIMICAS MK,PHARMAPLUS,38469-01,ALBENDAZOL MK 200MG,1402.0,0.0,ALBENDAZOL 200 MG TABLETA CUBIERTA
TECNOQUIMICAS MK,PHARMAPLUS,20472-01,DICLOFENACO MK 50MG,173.0,0.0,DICLOFENACO SODICO 50 MG TABLETA RECUBIERTA (GRAGEA)
TECNOQUIMICAS MK,PHARMAPLUS,20077715-16,TRIMEBUTINA + SIMETICONA MK 200/120MG,2462.0,0.0,TRIMEBUTINA + SIMETICONA 200 MG + 120 MG TAB CUB
PROCAPS FARMA RX,PHARMAPLUS,19938609-08,CARDIOSOL 30 MG,7237.0,0.0,NIFEDIPINA
MEGALABS FARMA,PHARMAPLUS,20135836-07,AMOXIDAL 1 GR CJA X 28 TAB,4557.0,0.0,AMOXICILINA
TECNOQUIMICAS MK,PHARMAPLUS,34162-06,HIDROCLOROTIAZIDA MK 25MG INST,152.0,0.0,HIDROCLOROTIAZIDA
TECNOQUIMICAS MK,PHARMAPLUS,20093384-13,ESPIRONOLACTONA MK 25 MG,761.0,0.0,ESPIRONOLACTONA 25 MG TAB
TECNOQUIMICAS VISION,PHARMAPLUS,52976-01,WASSERTROL SUSPENSION,15040.0,0.0,"POLIMIXINA B + NEOMICINA + DEXAMETASONA 6000 UI + 3,5 MG + 1 MG SUSP OFTALMICA ESTERIL"
TECNOQUIMICAS MK,PHARMAPLUS,20097607-01,CABERGOLINA MK 0.5 MG,6417.0,0.0,CABERGOLINA 0.5 MG TAB
TECNOQUIMICAS MK,PHARMAPLUS,226438-04,AMITRIPTILINA MK 25MG,476.0,0.0,AMITRIPTILINA 25 MG TABLETA RECUBIERTA
TECNOQUIMICAS MK,PHARMAPLUS,19971867-02,CLONIDINA MK 150MCG,1085.0,0.0,CLONIDINA 150 MCG TABLETA RANURADA
TECNOQUIMICAS MK,PHARMAPLUS,20082502-17,FEXOFENADINA MK 120MG,3681.0,0.0,FEXOFENADINA CLORHIDRATO 120 MG TAB CUB
TECNOQUIMICAS MK,PHARMAPLUS,43362-01,FLUCONAZOL MK 200MG,2984.0,0.0,FLUCONAZOL 200 MG CAPSULA DURA
OPHTHA,PHARMAPLUS,20159114-01,"TIMOLOL MALEATO 0,5%",30000.0,0.0,TIMOLOL MALEATO EQUIVALENTE A TIMOLOL
NOVAMED,PHARMAPLUS,20135411-08,RIFAMED 550MG CJA X 28,6111.0,0.0,RIFAXIMINA
NOVAMED,PHARMAPLUS,20135924-03,HUMENAS GEL 30ML,61159.0,0.0,CLORURO DE SODIO
TECNOQUIMICAS,PHARMAPLUS,20119541-01,TRAVAD PIK,57458.0,0.0,PICOSULFATO DE SODIO + OXIDO DE MAGNESIO + ACIDO CITRICO ANHIDRO 10MG + 3.5GR + 12GR POLVO PARA RECONSTITUIR A SOL ORAL
TECNOQUIMICAS,PHARMAPLUS,200636-01,TRAVAD ENEMA SOL. SALINA AL 2.5%,54340.0,0.0,"CLORURO DE SODIO U.S.P 2,5 GR SOLUCION PARA ADMINISTRAR POR VIA RECTAL"
TECNOQUIMICAS,PHARMAPLUS,32609-01,TRAVAD ENEMA,29294.0,0.0,FOSFATO DE SODIO MONOBASICO USP + FOSFATO DE SODIO DIBASICO USP 16 GR + 6 GR SOLUCION PARA ADMINISTRAR POR VIA RECTAL
TECNOQUIMICAS,PHARMAPLUS,19906526-03,TRAVAD ORAL SABOR A LIMON FCO X 133 ML,31400.0,0.0,FOSFATO DE SODIO MONOBASICO USP + FOSFATO DE SODIO DIBASICO USP 16 GR + 6 GR SOL ORAL
TECNOQUIMICAS MK,PHARMAPLUS,19992898-01,AMOXICILINA MK 125MG/5ML,7985.0,0.0,AMOXICILINA 125 MG/5ML POLVO PARA RECONSTITUIR A SUSP ORAL
OPHTHA,PHARMAPLUS,20134226-01,KAIROS PF,34000.0,0.0,LATANOPROST
EXELTIS,PHARMAPLUS,20104341-02,VELBIENNE 10,1028.0,0.0,DIENOGEST 2 MG + ESTRADIOL VALERATO 1 MG
HUMAX,PHARMAPLUS,20049559-01,NEURONOX 100 UI (TOXINA BOTULINICA),486750.0,0.0,TOXINA BOTULINICA TIPO A PURIFICADA DEL CLOSTRIDIUM BOTULINUM (CEPA HALL) POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE
