laboratorio,proveedor,cum,descripcion,precio,principio_activo,precio_maximo_venta,circular_origen,diferencia_valor,diferencia_pct,motivo,ratio_precio_vs_regulado
LAFRACOL,LAFRACOL,0,ERICOX 30 mg x 10 TAB-ENT,2020.0,ETORICOXIB 30 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,ERICOX 60mg x 14 TAB-ENT,1983.0,ETORICOXIB 60 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,ERICOX 90 mg x 14 TAB-ENT,2975.0,ETORICOXIB 90 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,EROXIM 100 mg x 1 TAB,13831.0,SILDENAFIL CITRATO EQV SILDENAFIL 100 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,EROXIM 50 mg x 4 TAB-ENT,6057.0,SILDENAFIL CITRATO EQV. 50mg SILDENAFIL,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,ESTEINE 3.5 mg x 6 OVULOS-USO,4045.0,ESTRIOL 3.5 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FACETIX MINI x 28 TAB-ENT,301.0,CIPROTERONA ACETATO 2 mg; ETINILESTRADIOL 0.02 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FACETIX SUAVE x 28 TAB-ENT,301.0,CIPROTERONA ACETATO 2 mg; ETINILESTRADIOL 0.03 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FACETIX x 21 TAB RECUBIERTA-ENT,402.0,CIPROTERONA ACETATO 2 mg; ETINILESTRADIOL 0.035 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FEMELLE 20 CD 3/0.02 mg x 28 TAB-ENT,799.0,DROSPIRENONA 3 mg; ETINILESTRADIOL 0.02 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FEMOSTON CONTI X 28 TAB-ENT,722.0,ESTRADIOL HEMIHIDRATO EQV. ESTRADIOL 1MG; DIDROGESTERONA 5 MG,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FEXU 120mg x20 TAB-ENT,3478.0,FEXOFENADINA CLORHIDRATO 120mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FEXU 180mg x20 TAB-ENT,6338.0,FEXOFENADINA CLORHIDRATO 180 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FINIGAX MASTIC CEREZA x36 TAB,1045.0,SIMETICONA 125 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FINIGAX MASTIC MENTA x36 TAB,1096.0,SIMETICONA 125 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FLEXIMAX ACE X 14 TAB-ENT,3466.0,ACETAMINOFEN 325 mg; TIOCOLCHICOSIDO 4 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FLEXIMAX NAP X 14 TAB-ENT,2853.0,NAPROXENO 250 mg; TIOCOLCHICOSIDO 4 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FLUCIFEM 1000/75 mg x 4 TAB-ENT,43064.0,SECNIDAZOL 1000 mg; FLUCONAZOL 75 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FOCUS 0.04 mg FCO x10ml-ENT,156662.0,TRAVOPROST 0.04 mg/mL,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FUNIDE-DERM CREM 1% TBO x 15g-ENT,15553.0,CADA 100g CONTIENE TERBINAFINA HCL 1g,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FUNIDE-DERMATIC 1% LOCION x 30mL-ENT,17004.0,TERBINAFINA HCL AL 1%,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FUNIDE-DERMATIC 250 mg x 14 TAB-ENT,3038.0,TERBINAFINA HCL EQV TERBINAFINA 250 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,FUZOLPAULY 150 mg x 4 CAP-ENT,10948.0,#N/D,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,GASTRUM 10 mg x 48 TAB,986.0,FAMOTIDINA 10 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,GIGI 12 CJ x7 STICKS,7462.0,LACTOBACILLUS RHAMNOSUS LGG; BIFIDOBACTERIUM ANIMALS SUBSP. BB-12,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,GIGI 12 FCO X 15 CAP,3187.0,N/A SUPLEMENTO DIETARIO,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,GYNCLOX 200/100 mg x 3 OVULOS-ENT,14353.0,CLINDAMICINA FOSF EQV CLINDAMICINA 100mg; CLOTRIMAZOL 200 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,GYNCLOX CREMA VAG TBO x 40g-ENT,49652.0,CLOTRIMAZOL 1.0%; CLINDAMICINA FOSF EQV CLINDAMICINA 2 G,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,GYNETS 4mg x28 TAB,1197.0,DROSPIRENONA 4mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,GYNFLU D x 4 TAB-ENT,10253.0,SECNIDAZOL 1000 mg; FLUCONAZOL 75 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,GYNORELLE 2/0.02 mg x 28 COMP-ENT,762.0,CLORMADINONA ACETATO 2 mg; ETINILESTRADIOL 0.02 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,GYNORELLE 30 x21 COMP-ENT,1016.0,ETINILESTRADIOL 0.03 mg; CLORMADINONA ACETATO 2 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,IBONE D 150 mg/12000 UI x 1 TAB-ENT,143548.0,IBANDRON/SOD EQV ACID IBANDRONICO 150mg; VITAMINA D3 12000 UI,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,IBONE D 150 mg/12000 UI x3 TAB-ENT,90036.0,IBANDRON/SOD EQV ACID IBANDRONICO 150mg; VITAMINA D3 12000 UI,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,INDUSTOL 200 mcg x 8 TAB-USO,2860.0,MISOPROSTOL DISP1%EQV MISOPROSTOL 200mcg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,IZINOVA 2 FRASCOS X 6 ONZAS,46420.0,SULFATO DE SODIO ANHIDRO 17.51g; SULFATO DE POTASIO 3.13g; SULFATO DE MAGNESIO HEPTAHIDRAT 3.276g,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,JEX 1mg/2mg x28 TAB,1245892857.0,"ESTRADIOL HEMIHIDRATO EQV. ESTRADIOL 1MG; DROSPIRENONA MICRONIZADA 2,0mg",,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,KAZIDE 200 mg DISPER x 6 TAB-ENT,1943.0,NITAZOXANIDA 200 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,KAZIDE 500 mg x 6 TAB-ENT,4096.0,NITAZOXANIDA 500 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,LACORYL 60 mg x 14 CAP-ENT,6812.0,PINUS PINASTER60mg eqv PROCIANIDINA 42mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,LACORYL 60mg x28 CAP-ENT,6304.0,PINUS PINASTER60mg eqv PROCIANIDINA 42mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,LISIPRIL 10 mg x 10 TAB-ENT,5917.0,LISINOPRIL DIHID EQV LISINOPRIL 10 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,LISIPRIL 20 mg x 10 TAB-ENT,10596.0,LISINOPRIL DIHID EQV LISINOPRIL 20 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,LISIPRIL 5 mg x 20 TAB-ENT,3089.0,LISINOPRIL DIHID EQ LISINOPRIL BASE 5 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,LUMBAL FORTE X 36 TAB,2174.0,CAFEINA 65 mg; NAPROXENO 550 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,LUMBAL x 48 TAB,1466.0,NAPROXENO SÓDICO 220 mg; CAFEINA 50 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,MAGNION 100 UI x 1 VIAL PAIN - ENT,451500.0,TOXINA BOTULINICA TIPO A 100U,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,MAGNION 200 UI x 1 VIAL PAIN - ENT,828970.0,TOXINA BOTULINICA TIPO A 200 UI,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,MAGNION 50 UI x 1 VIAL PAIN - ENT,319900.0,TOXINA CLORTRIDIUM BOTULINUM TIP A 50 UI,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,MENODIN 1 mL x 1 AMP-ENT,25479.0,HEXAHIDROBENZOATO DE ESTRADIOL 5 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,MENTOSANIL 100 mg X 90 CAP-ENT,16502.0,PENTOSAN POLISULFATO 100 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,MOVIDOL M 220/50mg x36 TAB,1205.0,NAPROXENO 220 mg; CAFEINA 50 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,MOVIDOL x 48 TAB,1122.0,NAPROXENO 220 mg; ACETAMINOFEN 250 mg; CAFEINA 65 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,NEDOX 20mg x14 TAB-ENT,5735.0,ESOMEPRAZOL 20 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
